language,period,stars,forks,issues,commits
Python,recent,391405,41874,798,0
Python,past,391405,41874,798,0
Python,recent,380600,65747,164,4
Python,past,380600,65747,164,18
Python,recent,332434,54067,523,0
Python,past,332434,54067,523,0
Python,recent,278598,27065,17,100
Python,past,278598,27065,17,2
Python,recent,216925,49966,854,2
Python,past,216925,49966,854,13
Python,recent,181169,46267,290,65
Python,past,181169,46267,290,0
Python,recent,159991,29799,2458,0
Python,past,159991,29799,2458,100
Python,recent,155236,31763,2165,100
Python,past,155236,31763,2165,100
Python,recent,143740,8316,938,90
Python,past,143740,8316,938,0
Python,recent,142103,11483,2256,49
Python,past,142103,11483,2256,87
Python,recent,140293,11049,246,1
Python,past,140293,11049,246,2
Python,recent,139468,10587,4107,0
Python,past,139468,10587,4107,0
Python,recent,126202,19655,680,100
Python,past,126202,19655,680,0
Python,recent,124388,20490,334,100
Python,past,124388,20490,334,100
Python,recent,120934,17058,253,100
Python,past,120934,17058,253,0
Python,recent,101138,16470,87,0
Python,past,101138,16470,87,0
Python,recent,100474,11410,3527,100
Python,past,100474,11410,3527,1
Python,recent,96691,26526,17871,100
Python,past,96691,26526,17871,100
Python,recent,95214,3816,404,0
Python,past,95214,3816,404,0
Python,recent,94162,8536,203,100
Python,past,94162,8536,203,44
TypeScript,recent,435965,43104,355,100
TypeScript,past,435965,43104,355,100
TypeScript,recent,347382,43632,34,46
TypeScript,past,347382,43632,34,100
TypeScript,recent,209861,33905,619,0
TypeScript,past,209861,33905,619,3
TypeScript,recent,180758,37426,12784,100
TypeScript,past,180758,37426,12784,100
TypeScript,recent,169550,53694,1224,100
TypeScript,past,169550,53694,1224,100
TypeScript,recent,142484,18913,3,100
TypeScript,past,142484,18913,3,59
TypeScript,recent,136806,16373,56,1
TypeScript,past,136806,16373,56,3
TypeScript,recent,114589,12176,2744,18
TypeScript,past,114589,12176,2744,39
TypeScript,recent,109742,5369,346,100
TypeScript,past,109742,5369,346,100
TypeScript,recent,107465,13207,5452,15
TypeScript,past,107465,13207,5452,87
TypeScript,recent,104960,7687,1853,25
TypeScript,past,104960,7687,1853,0
TypeScript,recent,99678,27018,1117,100
TypeScript,past,99678,27018,1117,100
TypeScript,recent,97272,54378,1375,100
TypeScript,past,97272,54378,1375,100
TypeScript,recent,96307,11285,782,100
TypeScript,past,96307,11285,782,100
TypeScript,recent,93325,9364,300,32
TypeScript,past,93325,9364,300,32
TypeScript,recent,92965,4991,69,43
TypeScript,past,92965,4991,69,23
TypeScript,recent,92536,6782,109,100
TypeScript,past,92536,6782,109,24
TypeScript,recent,91281,10626,2696,100
TypeScript,past,91281,10626,2696,0
TypeScript,recent,89241,4738,708,100
TypeScript,past,89241,4738,708,100
TypeScript,recent,89054,9828,2231,100
TypeScript,past,89054,9828,2231,100
JavaScript,recent,242321,50417,1119,23
JavaScript,past,242321,50417,1119,100
JavaScript,recent,195369,31121,385,4
JavaScript,past,195369,31121,385,2
JavaScript,recent,148031,26774,183,0
JavaScript,past,148031,26774,183,1
JavaScript,recent,137170,30294,3238,100
JavaScript,past,137170,30294,3238,100
JavaScript,recent,126349,12404,2,4
JavaScript,past,126349,12404,2,0
JavaScript,recent,115240,34397,2431,100
JavaScript,past,115240,34397,2431,100
JavaScript,recent,110381,36236,605,100
JavaScript,past,110381,36236,605,93
JavaScript,recent,108494,11493,312,15
JavaScript,past,108494,11493,312,25
JavaScript,recent,103966,27153,2364,0
JavaScript,past,103966,27153,2364,0
JavaScript,recent,97734,7321,178,15
JavaScript,past,97734,7321,178,6
JavaScript,recent,97620,32796,1737,89
JavaScript,past,97620,32796,1737,100
JavaScript,recent,95040,15025,56,100
JavaScript,past,95040,15025,56,68
JavaScript,recent,94260,12509,117,0
JavaScript,past,94260,12509,117,0
JavaScript,recent,85477,4732,997,34
JavaScript,past,85477,4732,997,30
JavaScript,recent,81505,7270,704,100
JavaScript,past,81505,7270,704,100
JavaScript,recent,77982,29579,227,10
JavaScript,past,77982,29579,227,11
JavaScript,recent,76228,12249,303,0
JavaScript,past,76228,12249,303,0
JavaScript,recent,75568,7269,720,4
JavaScript,past,75568,7269,720,0
JavaScript,recent,70426,16819,882,1
JavaScript,past,70426,16819,882,17
JavaScript,recent,68574,22181,186,14
JavaScript,past,68574,22181,186,0
C++,recent,193377,75174,2819,100
C++,past,193377,75174,2819,100
C++,recent,125082,25051,1155,100
C++,past,125082,25051,1155,100
C++,recent,119781,16929,920,42
C++,past,119781,16929,920,38
C++,recent,105503,24063,17180,100
C++,past,105503,24063,17180,100
C++,recent,101401,9020,1694,22
C++,past,101401,9020,1694,19
C++,recent,93122,14506,1005,100
C++,past,93122,14506,1005,0
C++,recent,87680,38709,748,100
C++,past,87680,38709,748,100
C++,recent,85759,56491,2744,91
C++,past,85759,56491,2744,100
C++,recent,77037,8314,748,0
C++,past,77037,8314,748,0
C++,recent,71936,10464,462,6
C++,past,71936,10464,462,15
C++,recent,70773,11463,1198,40
C++,past,70773,11463,1198,25
C++,recent,70326,16009,233,100
C++,past,70326,16009,233,100
C++,recent,69570,10644,8589,100
C++,past,69570,10644,8589,100
C++,recent,57683,2607,635,100
C++,past,57683,2607,635,100
C++,recent,52301,2325,308,100
C++,past,52301,2325,308,100
C++,recent,48574,7293,97,13
C++,past,48574,7293,97,2
C++,recent,47564,2653,580,21
C++,past,47564,2653,580,7
C++,recent,45839,5112,1098,100
C++,past,45839,5112,1098,86
C++,recent,45237,7983,5625,100
C++,past,45237,7983,5625,100
C++,recent,44228,11032,1189,93
C++,past,44228,11032,1189,100
Go,recent,162739,12907,158,4
Go,past,162739,12907,158,8
Go,recent,159630,14175,2339,61
Go,past,159630,14175,2339,0
Go,recent,131988,18753,9722,93
Go,past,131988,18753,9722,94
Go,recent,119878,42218,2527,100
Go,past,119878,42218,2527,100
Go,recent,103531,14801,47,10
Go,past,103531,14801,47,7
Go,recent,87709,8542,889,5
Go,past,87709,8542,889,21
Go,recent,86071,8166,314,73
Go,past,86071,8166,314,50
Go,recent,79119,4887,393,11
Go,past,79119,4887,393,14
Go,recent,77025,2676,324,12
Go,past,77025,2676,324,60
Go,recent,71373,18883,3779,100
Go,past,71373,18883,3779,100
Go,recent,70772,2445,863,56
Go,past,70772,2445,863,100
Go,recent,69217,4603,243,17
Go,past,69217,4603,243,22
Go,recent,68792,3224,142,3
Go,past,68792,3224,142,0
Go,recent,68198,1823,280,3
Go,past,68198,1823,280,32
Go,recent,62251,10097,756,100
Go,past,62251,10097,756,100
Go,recent,61102,5780,742,66
Go,past,61102,5780,742,20
Go,recent,59800,6897,78,1
Go,past,59800,6897,78,65
Go,recent,57755,3040,164,0
Go,past,57755,3040,164,0
Go,recent,55297,3028,19,27
Go,past,55297,3028,19,61
Go,recent,54999,4850,1121,25
Go,past,54999,4850,1121,39
